Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-122.95,50.07,WHISTLER ROUNDHOUSE,1108906,2025-01-01,2025,1,1,†,-6.0,,-11.0,,-8.5,,26.5,,0.0,,0.0,,1.0,,1.0,,178.0,,,,,
-122.95,50.07,WHISTLER ROUNDHOUSE,1108906,2025-01-02,2025,1,2,†,-3.5,,-10.5,,-7.0,,25.0,,0.0,,0.0,,6.0,,6.0,,175.0,,,,,
-122.95,50.07,WHISTLER ROUNDHOUSE,1108906,2025-01-03,2025,1,3,†,-3.0,,-8.0,,-5.5,,23.5,,0.0,,0.0,,3.0,,3.0,,177.0,,,,,
-122.95,50.07,WHISTLER ROUNDHOUSE,1108906,2025-01-04,2025,1,4,†,-3.0,,-6.0,,-4.5,,22.5,,0.0,,0.0,,2.0,,2.0,,175.0,,,,,
-122.95,50.07,WHISTLER ROUNDHOUSE,1108906,2025-01-05,2025,1,5,†,0.0,,-5.0,,-2.5,,20.5,,0.0,,0.0,,0.0,,0.0,,174.0,,,,,
-122.95,50.07,WHISTLER ROUNDHOUSE,1108906,2025-01-06,2025,1,6,†,4.0,,-4.0,,0.0,,18.0,,0.0,,0.0,,0.0,,0.0,,171.0,,,,,
-122.95,50.07,WHISTLER ROUNDHOUSE,1108906,2025-01-07,2025,1,7,†,3.5,,0.0,,1.8,,16.2,,0.0,,0.0,,1.0,,1.0,,169.0,,,,,
-122.95,50.07,WHISTLER ROUNDHOUSE,1108906,2025-01-08,2025,1,8,†,2.0,,-3.0,,-0.5,,18.5,,0.0,,0.0,,0.0,,0.0,,168.0,,,,,
-122.95,50.07,WHISTLER ROUNDHOUSE,1108906,2025-01-09,2025,1,9,†,4.5,,-2.0,,1.3,,16.7,,0.0,,0.0,,17.0,,17.0,,167.0,,,,,
-122.95,50.07,WHISTLER ROUNDHOUSE,1108906,2025-01-10,2025,1,10,†,-1.5,,-3.0,,-2.3,,20.3,,0.0,,0.0,,0.0,T,0.0,T,181.0,,,,,
-122.95,50.07,WHISTLER ROUNDHOUSE,1108906,2025-01-11,2025,1,11,†,-3.0,,-7.5,,-5.3,,23.3,,0.0,,0.0,,0.0,T,0.0,T,177.0,,,,,
-122.95,50.07,WHISTLER ROUNDHOUSE,1108906,2025-01-12,2025,1,12,†,1.5,,-9.0,,-3.8,,21.8,,0.0,,0.0,,0.0,,0.0,,174.0,,,,,
-122.95,50.07,WHISTLER ROUNDHOUSE,1108906,2025-01-13,2025,1,13,†,4.0,,-6.0,,-1.0,,19.0,,0.0,,0.0,,0.0,,0.0,,171.0,,,,,
-122.95,50.07,WHISTLER ROUNDHOUSE,1108906,2025-01-14,2025,1,14,†,5.0,,1.0,,3.0,,15.0,,0.0,,0.0,,0.0,,0.0,,170.0,,,,,
-122.95,50.07,WHISTLER ROUNDHOUSE,1108906,2025-01-15,2025,1,15,†,5.5,,2.0,,3.8,,14.2,,0.0,,0.0,,0.0,,0.0,,167.0,,,,,
-122.95,50.07,WHISTLER ROUNDHOUSE,1108906,2025-01-16,2025,1,16,†,-3.5,,-5.5,,-4.5,,22.5,,0.0,,0.0,,0.0,,0.0,,166.0,,,,,
-122.95,50.07,WHISTLER ROUNDHOUSE,1108906,2025-01-17,2025,1,17,†,-7.0,,-10.0,,-8.5,,26.5,,0.0,,0.0,,0.0,,0.0,,166.0,,,,,
-122.95,50.07,WHISTLER ROUNDHOUSE,1108906,2025-01-18,2025,1,18,†,-5.0,,-11.0,,-8.0,,26.0,,0.0,,0.0,,0.0,,0.0,,166.0,,,,,
-122.95,50.07,WHISTLER ROUNDHOUSE,1108906,2025-01-19,2025,1,19,†,-3.5,,-9.0,,-6.3,,24.3,,0.0,,0.0,,0.0,,0.0,,165.0,,,,,
-122.95,50.07,WHISTLER ROUNDHOUSE,1108906,2025-01-20,2025,1,20,†,-2.5,,-9.0,,-5.8,,23.8,,0.0,,0.0,,0.0,,0.0,,162.0,,,,,
-122.95,50.07,WHISTLER ROUNDHOUSE,1108906,2025-01-21,2025,1,21,†,-1.0,,-9.5,,-5.3,,23.3,,0.0,,0.0,,0.0,,0.0,,162.0,,,,,
-122.95,50.07,WHISTLER ROUNDHOUSE,1108906,2025-01-22,2025,1,22,†,0.0,,-9.0,,-4.5,,22.5,,0.0,,0.0,,0.0,,0.0,,162.0,,,,,
-122.95,50.07,WHISTLER ROUNDHOUSE,1108906,2025-01-23,2025,1,23,†,-1.5,,-3.0,,-2.3,,20.3,,0.0,,0.0,,0.0,T,0.0,T,162.0,,,,,
-122.95,50.07,WHISTLER ROUNDHOUSE,1108906,2025-01-24,2025,1,24,†,-6.5,,-11.0,,-8.8,,26.8,,0.0,,0.0,,0.0,,0.0,,162.0,,,,,
-122.95,50.07,WHISTLER ROUNDHOUSE,1108906,2025-01-25,2025,1,25,†,-1.0,,-11.0,,-6.0,,24.0,,0.0,,0.0,,0.0,,0.0,,158.0,,,,,
-122.95,50.07,WHISTLER ROUNDHOUSE,1108906,2025-01-26,2025,1,26,†,5.5,,-4.5,,0.5,,17.5,,0.0,,0.0,,0.0,,0.0,,158.0,,,,,
-122.95,50.07,WHISTLER ROUNDHOUSE,1108906,2025-01-27,2025,1,27,†,9.0,,1.5,,5.3,,12.7,,0.0,,0.0,,0.0,,0.0,,157.0,,,,,
-122.95,50.07,WHISTLER ROUNDHOUSE,1108906,2025-01-28,2025,1,28,†,9.0,,1.5,,5.3,,12.7,,0.0,,0.0,,0.0,,0.0,,156.0,,,,,
-122.95,50.07,WHISTLER ROUNDHOUSE,1108906,2025-01-29,2025,1,29,†,1.5,,0.5,,1.0,,17.0,,0.0,,0.0,,0.0,,0.0,,156.0,,,,,
-122.95,50.07,WHISTLER ROUNDHOUSE,1108906,2025-01-30,2025,1,30,†,-1.5,,-5.0,,-3.3,,21.3,,0.0,,0.0,,13.0,,13.0,,156.0,,,,,
-122.95,50.07,WHISTLER ROUNDHOUSE,1108906,2025-01-31,2025,1,31,†,-2.5,,-6.0,,-4.3,,22.3,,0.0,,0.0,,25.0,,25.0,,169.0,,,,,
-122.95,50.07,WHISTLER ROUNDHOUSE,1108906,2025-02-01,2025,2,1,†,-10.0,,-12.0,,-11.0,,29.0,,0.0,,0.0,,7.0,,7.0,,182.0,,,,,
-122.95,50.07,WHISTLER ROUNDHOUSE,1108906,2025-02-02,2025,2,2,†,-11.0,,-14.0,,-12.5,,30.5,,0.0,,0.0,,14.0,,14.0,,185.0,,,,,
